Team,Rank,Assists,Team Games,Per Game,Corners,Fouls,Goals,GA,Diff,PS,psatt,Pct.,Points,Saves,SoG,ShAtt,Shutouts,Won,Loss,Tied,Team Min,GAA
Purdue Fort Wayne,655.0,54.0,255.0,45.995,55.0,228.0,96.0,63.0,3.0,3.0,4.0,2.435,75.0,114.0,186.0,438.0,4.0,7.0,6.0,4.0,1530.0,1.235
Quinnipiac,1154.0,48.0,255.0,36.998,71.0,179.0,80.0,78.0,-6.0,3.0,3.0,2.3810000000000002,64.0,112.0,116.0,310.0,2.0,3.0,9.0,5.0,1530.0,1.529
Radford,1633.0,18.0,255.0,37.228,85.0,208.0,52.0,108.0,-23.0,1.0,1.0,2.3200000000000003,35.0,152.0,112.0,298.0,2.0,3.0,11.0,3.0,1530.0,2.118
Rhode Island,1406.0,24.0,240.0,43.931999999999995,86.0,204.0,76.0,66.0,-3.0,3.0,4.0,2.306,50.0,100.0,154.0,392.0,9.0,5.0,6.0,5.0,1440.0,1.375
Rider,640.0,52.0,300.0,48.75,115.0,221.0,132.0,63.0,12.0,1.0,2.0,2.355,92.0,134.0,234.0,594.0,7.0,12.0,4.0,4.0,1800.0,1.05
Robert Morris,577.0,42.0,240.0,46.058,79.0,192.0,96.0,69.0,1.0,0.0,0.0,1.648,69.0,114.0,186.0,398.0,3.0,5.0,6.0,5.0,1440.0,1.438
Rutgers,722.0,40.0,240.0,47.745,85.0,173.0,96.0,99.0,-9.0,1.0,1.0,2.5,68.0,122.0,204.0,458.0,2.0,5.0,8.0,3.0,1440.0,2.062
SIUE,174.0,90.0,300.0,52.400000000000006,111.0,221.0,180.0,36.0,33.0,8.0,9.0,3.14,135.0,134.0,286.0,542.0,10.0,16.0,1.0,3.0,1800.0,0.6
SMU,242.0,56.0,255.0,50.949,122.0,189.0,124.0,36.0,19.0,4.0,4.0,3.0389999999999997,90.0,88.0,212.0,494.0,9.0,13.0,2.0,2.0,1520.0,0.71
Sacramento St.,339.0,36.0,270.0,42.891999999999996,100.0,198.0,68.0,93.0,-14.0,0.0,0.0,1.492,52.0,220.0,150.0,396.0,4.0,4.0,10.0,4.0,1620.0,1.722
